state,Lake, lake.region,Latitude,Longitude,Elevation.(m),yr.sampled,season,month,TOD,TOD.Detail,number.sites,sample.times,min.depth,max.depth,ave.den.per.m2,std.dev,method,method.detail,net.diameter,net.length,mesh.size.(μm),biomass,size.frequency,reference,type.of.pub,data.origin,notes:
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1995,fall,Oct/Nov,night,no details,44,all year except iced,50,250,326.6,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2002,fall,Nov,night,no details,47,all year except iced,50,250,135.9,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2003,fall,Oct,night,no details,55,all year except iced,50,250,261.3,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2004,fall,Oct,night,no details,31,all year except iced,50,250,194.1,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2005,fall,Nov,night,no details,45,all year except iced,50,250,182.4,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2006,winter,Dec,night,no details,33,all year except iced,50,250,73.5,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,2007,fall,Oct/Nov,night,no details,43,all year except iced,50,250,172.6,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Michigan,Southern Lake Michigan,43,86 40',0,1985,spring,11-Jun,night,140,1,,100,100,132.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,spring,26-Jun,night,110,1,,100,100,98.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,summer,18-Jul,night,110,1,,100,100,195.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,summer,30-Jul,night,2330,1,,100,100,65.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,summer,7-Aug,night,2310,1,,100,100,48.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,summer,21-Aug,night,115,1,,100,100,60.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,more depth range data available
,Michigan,Southern Lake Michigan,43,86 40',0,1985,summer,27-Aug,night,120,1,,100,100,181.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,spring,4-Jun,night,115,1,,100,100,152.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,spring,4-Jun,night,115,1,,100,100,177.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,8-Jul,night,130,1,,100,100,42.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,8-Jul,night,130,1,,100,100,36.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,8-Jul,night,130,1,,100,100,155.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,8-Jul,night,130,1,,100,100,145.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,8-Jul,night,130,1,,100,100,71.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,23-Jul,night,45,1,,100,100,958.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,23-Jul,night,45,1,,100,100,721.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,23-Jul,night,45,1,,100,100,556.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,23-Jul,night,45,1,,100,100,346.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,6-Aug,night,40,1,,100,100,111.0,sr,Vertical tow,1 m diamenter plankton net,,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,6-Aug,night,40,1,,100,100,111.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,6-Aug,night,40,1,,100,100,134.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1986,summer,6-Aug,night,40,1,,100,100,115.0,sr,Tucker Trawl,"1 m net opeing, 1.5 knt speed",,,300,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1987,summer,30-Jun,night,2200,1,,100,100,97.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1987,summer,22-Jul,night,2110,1,,100,100,28.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1987,summer,18-Aug,night,100,1,,100,100,33.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1987,fall,2-Sep,night,2050,1,,100,100,71.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,26-May,night,2145,1,,100,100,149.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,26-May,night,2145,1,,100,100,89.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,26-May,night,2145,1,,100,100,84.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,28-Jun,night,2240,1,,100,100,111.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,28-Jun,night,2240,1,,100,100,112.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,28-Jun,night,2240,1,,100,100,74.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,spring,28-Jun,night,2240,1,,100,100,68.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,19-Jul,night,2100,1,,100,100,50.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,19-Jul,night,2100,1,,100,100,38.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,19-Jul,night,2100,1,,100,100,52.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,19-Jul,night,2100,1,,100,100,55.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,5-Aug,night,115,1,,100,100,75.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,5-Aug,night,115,1,,100,100,94.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,5-Aug,night,115,1,,100,100,96.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,5-Aug,night,115,1,,100,100,62.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,15-Aug,night,2230,1,,100,100,36.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,15-Aug,night,2230,1,,100,100,33.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,summer,15-Aug,night,2230,1,,100,100,52.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,fall,13-Sep,night,2310,1,,100,100,57.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,fall,13-Sep,night,2310,1,,100,100,57.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,fall,13-Sep,night,2310,1,,100,100,50.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1988,fall,13-Sep,night,2310,1,,100,100,59.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,25-May,night,2350,1,,100,100,27.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,25-May,night,2350,1,,100,100,23.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,25-May,night,2350,1,,100,100,25.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,28-Jun,night,0,1,,100,100,153.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,28-Jun,night,0,1,,100,100,113.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,spring,28-Jun,night,0,1,,100,100,173.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,18-Jul,night,2230,1,,100,100,87.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,18-Jul,night,2230,1,,100,100,121.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,18-Jul,night,2230,1,,100,100,69.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,7-Aug,night,2220,1,,100,100,139.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,22-Aug,night,2230,1,,100,100,61.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,22-Aug,night,2230,1,,100,100,62.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,22-Aug,night,2230,1,,100,100,69.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,22-Aug,night,2230,1,,100,100,87.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,27-Aug,night,2215,1,,100,100,106.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,27-Aug,night,2215,1,,100,100,127.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,27-Aug,night,2215,1,,100,100,139.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,summer,27-Aug,night,2215,1,,100,100,115.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,fall,19-Sep,night,2140,1,,100,100,124.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,fall,19-Sep,night,2140,1,,100,100,112.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Southern Lake Michigan,43,86 40',0,1989,fall,19-Sep,night,2140,1,,100,100,144.0,sr,Vertical tow,1 m diamenter plankton net,,,130,no,no,Lehman et al. 1990,Article,Table 1,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Jul,night,1 hr after sunset,,,30,50,423,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Jul,night,1 hr after sunset,,,30,50,742,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Aug,night,1 hr after sunset,,,30,50,429,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Sep,night,1 hr after sunset,,,30,50,389,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Sep,night,1 hr after sunset,,,30,50,935,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Oct,night,1 hr after sunset,,,30,50,306,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Oct,night,1 hr after sunset,,,30,50,388,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,42116,night,1 hr after sunset,,,115,115,553,244,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,42151,night,1 hr after sunset,,,115,115,256,76,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1976,summer,42198,night,1 hr after sunset,,,115,115,320,39,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,42116,day,,,,115,115,170,34,Benthic Sled,1.0 m2 net towed at 1.7 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,42151,day,,,,115,115,333,87,Benthic Sled,1.0 m2 net towed at 1.7 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1976,summer,42198,day,,,,115,115,293,22,Benthic Sled,1.0 m2 net towed at 1.7 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Table p.696,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Nov,night,1 hr after sunset,,,30,50,113,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,winter,Dec,night,1 hr after sunset,,,30,50,55,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,winter,Feb,night,1 hr after sunset,,,30,50,491,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Mar,night,1 hr after sunset,,,30,50,584,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Mar,night,1 hr after sunset,,,30,50,709,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Apr,night,1 hr after sunset,,,30,50,474,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Apr,night,1 hr after sunset,,,30,50,334,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,May,night,1 hr after sunset,,,30,50,541,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Jul,day,,,,30,50,7.8,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Jul,day,,,,30,50,8.3,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,summer,Aug,day,,,,30,50,11.8,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Sep,day,,,,30,50,7.2,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Sep,day,,,,30,50,0,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Oct,day,,,,30,50,0,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Oct,day,,,,30,50,0,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,fall,Nov,day,,,,30,50,2.2,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1975,winter,Dec,day,,,,30,50,2.3,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,winter,Feb,day,,,,30,50,3,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Mar,day,,,,30,50,5.3,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Mar,day,,,,30,50,5.3,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Apr,day,,,,30,50,0,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,Apr,day,,,,30,50,0,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
,Michigan,Near Milwaukee,nr,nr,0,1976,spring,May,day,,,,30,50,9.2,nr,Vertical tow,0.75 m diameter net towed at 0.33 m/s,,,570,no,no,Grossnickle & Morgan 1979,Article,Figure 2,
